dc_bus,model,max_replicas,max_gpus,hosting_capacity_kw,hosting_capacity_MW,search_iterations,tap_reg1_20pct,tap_reg2_20pct,tap_reg3_20pct,tap_reg1_40pct,tap_reg2_40pct,tap_reg3_40pct,tap_reg1_60pct,tap_reg2_60pct,tap_reg3_60pct,tap_reg1_80pct,tap_reg2_80pct,tap_reg3_80pct,tap_reg1_100pct,tap_reg2_100pct,tap_reg3_100pct
632,Llama-3.1-8B,7138,7138,9993.2,9.9932,12,14,6,15,14,6,15,14,6,15,15,7,16,16,8,16
632,Llama-3.1-70B,1781,7124,9973.6,9.973600000000001,10,14,6,15,14,6,15,14,6,15,14,6,15,15,7,15
632,Llama-3.1-405B,888,7104,9945.6,9.9456,9,14,6,15,14,6,15,14,6,15,14,6,15,15,8,16
632,Qwen3-30B-A3B,3567,7134,9987.6,9.9876,11,14,6,15,14,6,15,14,6,15,14,6,15,14,7,15
632,Qwen3-235B-A22B,888,7104,9945.6,9.9456,9,14,6,15,14,6,15,14,6,15,14,6,15,14,7,15
633,Llama-3.1-8B,5854,5854,8195.6,8.1956,12,14,6,15,14,7,15,14,8,15,16,11,16,16,12,16
633,Llama-3.1-70B,1606,6424,8993.6,8.9936,10,14,6,15,14,8,15,15,9,16,16,11,16,16,12,16
633,Llama-3.1-405B,784,6272,8780.8,8.7808,9,14,6,15,14,7,15,14,9,16,16,10,16,16,12,16
633,Qwen3-30B-A3B,3455,6910,9674.0,9.674,11,14,8,15,14,8,15,15,10,15,16,11,16,16,12,16
633,Qwen3-235B-A22B,864,6912,9676.8,9.6768,9,14,8,15,14,8,15,15,10,15,16,11,16,16,12,16
670,Llama-3.1-8B,5548,5548,7767.2,7.7672,12,14,6,15,14,6,15,14,6,15,15,6,16,16,7,16
670,Llama-3.1-70B,1523,6092,8528.8,8.528799999999999,10,14,6,15,14,6,15,14,6,15,16,6,16,16,7,16
670,Llama-3.1-405B,742,5936,8310.4,8.3104,9,14,6,15,14,6,15,14,6,16,15,6,16,16,7,16
670,Qwen3-30B-A3B,3271,6542,9158.8,9.1588,11,14,6,15,14,6,15,15,6,15,16,6,16,16,7,16
670,Qwen3-235B-A22B,818,6544,9161.6,9.1616,9,14,6,15,14,6,15,15,6,15,16,6,16,16,7,16
671,Llama-3.1-8B,3663,3663,5128.2,5.1282,12,14,6,15,14,6,15,14,6,15,15,6,16,16,6,16
671,Llama-3.1-70B,1006,4024,5633.6,5.6336,10,14,6,15,14,6,15,14,6,15,16,6,16,16,6,16
671,Llama-3.1-405B,489,3912,5476.8,5.4768,9,14,6,15,14,6,15,15,6,15,16,6,15,16,6,16
671,Qwen3-30B-A3B,2156,4312,6036.8,6.0368,11,14,6,15,14,6,15,14,6,16,16,6,16,16,6,16
671,Qwen3-235B-A22B,541,4328,6059.2,6.0592,9,14,6,15,14,6,15,14,6,16,16,6,16,16,6,16
675,Llama-3.1-8B,3552,3552,4972.8,4.9728,12,14,6,15,14,6,15,15,6,15,16,7,16,16,8,16
675,Llama-3.1-70B,974,3896,5454.4,5.4544,10,14,6,15,14,6,15,16,6,16,16,7,16,16,8,16
675,Llama-3.1-405B,475,3800,5320.0,5.32,9,14,6,15,14,6,15,15,6,16,16,7,16,16,8,16
675,Qwen3-30B-A3B,2096,4192,5868.8,5.8688,11,14,6,15,15,6,15,16,6,16,16,7,16,16,8,16
675,Qwen3-235B-A22B,524,4192,5868.8,5.8688,9,14,6,15,15,6,15,16,6,16,16,7,16,16,8,16
680,Llama-3.1-8B,3422,3422,4790.8,4.7908,12,14,6,15,14,6,15,14,6,16,16,7,16,16,8,16
680,Llama-3.1-70B,939,3756,5258.4,5.2584,10,14,6,15,14,6,15,15,6,16,16,6,16,16,8,16
680,Llama-3.1-405B,457,3656,5118.4,5.118399999999999,9,14,6,15,14,6,15,15,6,16,16,7,16,16,8,16
680,Qwen3-30B-A3B,2010,4020,5628.0,5.628,11,14,6,15,14,6,15,15,6,16,16,7,16,16,8,16
680,Qwen3-235B-A22B,506,4048,5667.2,5.6672,9,14,6,15,14,6,16,16,6,16,16,7,16,16,8,16
692,Llama-3.1-8B,3663,3663,5128.2,5.1282,12,14,6,15,14,6,15,14,6,15,15,6,16,16,6,16
692,Llama-3.1-70B,1006,4024,5633.6,5.6336,10,14,6,15,14,6,15,14,6,15,16,6,16,16,6,16
692,Llama-3.1-405B,489,3912,5476.8,5.4768,9,14,6,15,14,6,15,15,6,15,16,6,15,16,6,16
692,Qwen3-30B-A3B,2156,4312,6036.8,6.0368,11,14,6,15,14,6,15,14,6,16,16,6,16,16,6,16
692,Qwen3-235B-A22B,541,4328,6059.2,6.0592,9,14,6,15,14,6,15,14,6,16,16,6,16,16,6,16
