dc_bus,model,max_replicas,max_gpus,hosting_capacity_kw,hosting_capacity_MW,search_iterations,tap_reg1_20pct,tap_reg2_20pct,tap_reg3_20pct,tap_reg1_40pct,tap_reg2_40pct,tap_reg3_40pct,tap_reg1_60pct,tap_reg2_60pct,tap_reg3_60pct,tap_reg1_80pct,tap_reg2_80pct,tap_reg3_80pct,tap_reg1_100pct,tap_reg2_100pct,tap_reg3_100pct
632,Llama-3.1-8B,7012,7012,9816.8,9.816799999999999,12,14,6,15,14,6,15,14,6,15,14,7,15,16,8,16
632,Llama-3.1-70B,1781,7124,9973.6,9.973600000000001,10,14,6,15,14,6,15,14,6,15,14,6,15,15,7,15
632,Llama-3.1-405B,888,7104,9945.6,9.9456,9,14,6,15,14,6,15,14,6,15,14,6,15,15,8,16
632,Qwen3-30B-A3B,3567,7134,9987.6,9.9876,11,14,6,15,14,6,15,14,6,15,14,6,15,14,7,15
632,Qwen3-235B-A22B,888,7104,9945.6,9.9456,9,14,6,15,14,6,15,14,6,15,14,6,15,14,7,15
633,Llama-3.1-8B,5217,5217,7303.8,7.3038,12,14,6,15,14,7,15,14,8,15,14,9,15,16,11,16
633,Llama-3.1-70B,1426,5704,7985.6,7.985600000000001,10,14,6,15,14,7,15,14,9,15,14,10,15,15,10,16
633,Llama-3.1-405B,697,5576,7806.4,7.8064,9,14,6,15,14,7,15,14,8,15,14,9,16,16,11,16
633,Qwen3-30B-A3B,3072,6144,8601.6,8.601600000000001,11,14,6,15,14,7,15,14,8,15,14,9,15,15,10,16
633,Qwen3-235B-A22B,770,6160,8624.0,8.624,9,14,6,15,14,7,15,14,9,15,14,10,16,15,10,16
670,Llama-3.1-8B,5273,5273,7382.2,7.3822,12,14,6,15,14,6,15,14,6,15,15,6,16,16,6,16
670,Llama-3.1-70B,1444,5776,8086.4,8.0864,10,14,6,15,14,6,15,14,6,15,14,6,16,16,6,16
670,Llama-3.1-405B,707,5656,7918.4,7.918399999999999,9,14,6,15,14,6,15,14,6,15,15,6,16,16,6,16
670,Qwen3-30B-A3B,3093,6186,8660.4,8.6604,11,14,6,15,14,6,15,14,6,15,15,6,16,16,6,16
670,Qwen3-235B-A22B,777,6216,8702.4,8.702399999999999,9,14,6,15,14,6,15,14,6,15,14,6,16,16,6,16
671,Llama-3.1-8B,3422,3422,4790.8,4.7908,12,14,6,15,14,6,15,14,6,15,14,6,15,16,6,16
671,Llama-3.1-70B,939,3756,5258.4,5.2584,10,14,6,15,14,6,15,14,6,15,15,6,16,16,6,16
671,Llama-3.1-405B,457,3656,5118.4,5.118399999999999,9,14,6,15,14,6,15,14,6,15,15,6,16,16,6,16
671,Qwen3-30B-A3B,2023,4046,5664.4,5.6644,11,14,6,15,14,6,15,14,6,15,15,6,15,16,6,16
671,Qwen3-235B-A22B,506,4048,5667.2,5.6672,9,14,6,15,14,6,15,14,6,15,15,6,15,16,6,16
675,Llama-3.1-8B,3109,3109,4352.6,4.352600000000001,12,14,6,15,14,6,15,14,6,15,15,6,15,16,6,16
675,Llama-3.1-70B,849,3396,4754.4,4.7543999999999995,10,14,6,15,14,6,15,14,6,15,15,6,15,16,6,16
675,Llama-3.1-405B,413,3304,4625.6,4.6256,9,14,6,15,14,6,15,14,6,15,14,6,15,16,6,16
675,Qwen3-30B-A3B,1829,3658,5121.2,5.1212,11,14,6,15,14,6,15,14,6,15,15,6,15,16,6,16
675,Qwen3-235B-A22B,457,3656,5118.4,5.118399999999999,9,14,6,15,14,6,15,14,6,15,15,6,16,16,6,16
680,Llama-3.1-8B,2920,2920,4088.0,4.088,12,14,6,15,14,6,15,14,6,15,14,6,15,16,6,16
680,Llama-3.1-70B,797,3188,4463.2,4.4632,10,14,6,15,14,6,15,14,6,15,15,6,16,16,6,16
680,Llama-3.1-405B,392,3136,4390.4,4.3904,9,14,6,15,14,6,15,14,6,15,15,6,16,16,6,16
680,Qwen3-30B-A3B,1700,3400,4760.0,4.76,11,14,6,15,14,6,15,14,6,15,15,6,15,16,6,16
680,Qwen3-235B-A22B,427,3416,4782.4,4.7824,9,14,6,15,14,6,15,14,6,15,14,6,15,16,6,16
692,Llama-3.1-8B,3422,3422,4790.8,4.7908,12,14,6,15,14,6,15,14,6,15,14,6,15,16,6,16
692,Llama-3.1-70B,939,3756,5258.4,5.2584,10,14,6,15,14,6,15,14,6,15,15,6,16,16,6,16
692,Llama-3.1-405B,457,3656,5118.4,5.118399999999999,9,14,6,15,14,6,15,14,6,15,15,6,16,16,6,16
692,Qwen3-30B-A3B,2023,4046,5664.4,5.6644,11,14,6,15,14,6,15,14,6,15,15,6,15,16,6,16
692,Qwen3-235B-A22B,506,4048,5667.2,5.6672,9,14,6,15,14,6,15,14,6,15,15,6,15,16,6,16
