t_s,power_W
0.0,50.0
0.1,50.977653631284916
0.2,51.95530726256983
0.30000000000000004,52.93296089385475
0.4,53.910614525139664
0.5,54.88826815642458
0.6000000000000001,55.865921787709496
0.7000000000000001,56.84357541899441
0.8,57.82122905027933
0.9,58.798882681564244
1.0,59.77653631284916
1.1,60.754189944134076
1.2000000000000002,61.73184357541899
1.3,62.709497206703915
1.4000000000000001,63.687150837988824
1.5,64.66480446927375
1.6,65.64245810055866
1.7000000000000002,66.62011173184358
1.8,67.59776536312849
1.9000000000000001,68.57541899441341
2.0,69.55307262569832
2.1,70.53072625698324
2.2,71.50837988826815
2.3000000000000003,72.48603351955308
2.4000000000000004,73.46368715083798
2.5,74.44134078212291
2.6,75.41899441340783
2.7,76.39664804469274
2.8000000000000003,77.37430167597765
2.9000000000000004,78.35195530726257
3.0,79.3296089385475
3.1,80.3072625698324
3.2,81.28491620111731
3.3000000000000003,82.26256983240224
3.4000000000000004,83.24022346368716
3.5,84.21787709497207
3.6,85.19553072625698
3.7,86.1731843575419
3.8000000000000003,87.15083798882682
3.9000000000000004,88.12849162011173
4.0,89.10614525139664
4.1000000000000005,90.08379888268156
4.2,91.06145251396649
4.3,92.0391061452514
4.4,93.0167597765363
4.5,93.99441340782123
4.6000000000000005,94.97206703910615
4.7,95.94972067039106
4.800000000000001,96.92737430167598
4.9,97.9050279329609
5.0,98.88268156424581
5.1000000000000005,99.86033519553072
5.2,100.83798882681565
5.300000000000001,101.81564245810057
5.4,102.79329608938548
5.5,103.77094972067039
5.6000000000000005,104.74860335195531
5.7,105.72625698324023
5.800000000000001,106.70391061452514
5.9,107.68156424581005
6.0,108.65921787709497
6.1000000000000005,109.6368715083799
6.2,110.6145251396648
6.300000000000001,111.59217877094972
6.4,112.56983240223464
6.5,113.54748603351956
6.6000000000000005,114.52513966480447
6.7,115.5027932960894
6.800000000000001,116.4804469273743
6.9,117.45810055865923
7.0,118.43575418994413
7.1000000000000005,119.41340782122906
7.2,120.39106145251397
7.300000000000001,121.36871508379889
7.4,122.3463687150838
7.5,123.32402234636872
7.6000000000000005,124.30167597765363
7.7,125.27932960893855
7.800000000000001,126.25698324022346
7.9,127.23463687150839
8.0,128.21229050279328
8.1,129.18994413407822
8.200000000000001,130.16759776536313
8.3,131.14525139664806
8.4,132.12290502793297
8.5,133.10055865921788
8.6,134.0782122905028
8.700000000000001,135.0558659217877
8.8,136.0335195530726
8.9,137.01117318435755
9.0,137.98882681564245
9.1,138.9664804469274
9.200000000000001,139.9441340782123
9.3,140.9217877094972
9.4,141.89944134078212
9.5,142.87709497206703
9.600000000000001,143.85474860335196
9.700000000000001,144.83240223463687
9.8,145.8100558659218
9.9,146.78770949720672
10.0,147.76536312849163
10.100000000000001,148.74301675977654
10.200000000000001,149.72067039106145
10.3,150.69832402234636
10.4,151.6759776536313
10.5,152.6536312849162
