bus_z1_sw,bus_z2_nw,bus_z3_se,bus_z4_ne,violation_time_s,integral_violation_pu_s,worst_vmin,worst_vmax,wall_time_s
8,23,54,105,720.0,4.089442593134905,0.945226911040903,1.0538497379226461,0.1216948000001139
8,23,55,105,720.0,4.139929870014425,0.9451375580049057,1.0537576989521518,0.09702639999886742
8,23,56,105,720.0,4.1987042922325575,0.9450530595225632,1.0536710042377633,0.11605199999758042
8,23,53,105,900.0,4.38748652815957,0.9463690106457228,1.0552740170332973,0.08613299999706214
8,23,52,105,900.0,8.61899925599426,0.9483391882974415,1.0572938141093775,0.10199999999895226
8,23,57,105,1260.0,9.320734540177337,0.9419305120940662,1.050443277806813,0.15258059999905527
8,23,60,105,2820.0,81.81401564652627,0.9392849443053312,1.0489488858016567,0.12926770000194665
8,23,67,105,2820.0,97.15103365754777,0.9380170244354019,1.0489578825577843,0.1374534999995376
8,23,72,105,2820.0,101.1698796743209,0.9378179903489146,1.0489210283191057,0.13651319999917177
8,23,76,105,2820.0,104.36827256817388,0.9376906063081051,1.0488914604158124,0.12674140000308398
8,23,77,105,2820.0,106.90723882717589,0.9376448098624431,1.0488579970864136,0.10464640000282088
8,23,78,105,2820.0,107.55356468495725,0.9376071979871775,1.0488514354749747,0.10336129999632249
8,23,79,105,2820.0,108.9369027174432,0.9375308185198855,1.0488406818182483,0.08316919999924721
8,23,80,105,2820.0,110.42082675684856,0.9374664590842735,1.0488194131498925,0.12659529999655206
8,23,86,105,2820.0,111.00267198973687,0.9374199150538681,1.0488236209274997,0.09272900000360096
8,23,81,105,2820.0,111.32585901151757,0.9374089780935422,1.0488108745091431,0.09516370000346797
8,23,82,105,2820.0,113.38977235429694,0.9373079985992212,1.0487972783430828,0.08847160000004806
8,23,87,105,2820.0,114.71051213948694,0.9372389580839697,1.0487915728640735,0.11120649999793386
8,23,83,105,2820.0,114.7702154557824,0.9372425625594009,1.048792118112847,0.0982877999995253
8,23,89,105,2820.0,116.295469735639,0.9371995268993435,1.048761853519308,0.1119609000015771
8,23,91,105,2820.0,117.85272558032709,0.9371273422491792,1.0487474036516733,0.09125289999792585
8,23,93,105,2820.0,119.6081104413397,0.9370423311600711,1.0487321321488794,0.08412629999656929
8,23,95,105,2820.0,120.90686975045696,0.9369724341844591,1.0487098598537277,0.1381993999966653
8,23,61,105,3000.0,89.39486607597442,0.9376037971198597,1.048989643710772,0.14220159999968018
8,23,62,105,3420.0,131.457578990964,0.9358244339801782,1.0490080234280283,0.10817049999604933
8,23,63,105,3600.0,164.19834636093873,0.933289773899728,1.0490221197251473,0.11344820000522304
8,23,64,105,3600.0,212.06457119673829,0.9282270180247547,1.0489685626490974,0.08958689999417402
8,23,65,105,3600.0,248.1034715999329,0.9220711115861143,1.0489088545562264,0.13085380000120495
8,23,66,105,3600.0,269.2809372977759,0.9174199135845581,1.0488662901069328,0.1463893999971333
